name,detailed_info,address,tags
고창 고인돌 유적 [유네스코 세계유산],"고인돌은 청동기시대 대표적인 무덤양식으로, 우리나라에 3만여 기 이상이 분포되어 있는 것으로 알려져 있다. 그중에서도 전남과 전북을 포함한 한반도 서남해안 지역에 밀집 분포하고 있다. 전북지역은 2003년 조사 기준으로 424개 군집에 2,632기가 분포한 것으로 알려져 있다. 특히 고창군은 2023년 조사기준으로 전북 고인돌의 65% 이상인 1,748기의 고인돌이 존재하는 것으로 파악되었다. 고창 고인돌유적은 죽림리와 상갑리, 도산리 일대에 무리 지어 분포하고, 2000년 12월 유네스코 세계문화유산에 등재되었다. 단일 구역으로서는 우리나라에서 가장 큰 군집을 이루고 있을 뿐만 아니라 탁자식, 바둑판식, 개석식 등 다양한 형식의 고인돌이 한 지역에 분포한다. 또한 고인돌 축조과정을 알 수 있는 채석장의 존재 등 동북아시아 고인돌 변천사를 규명하는 데 있어 중요한 자료가 되고 있다. 세계유산위원회에서는 등재 기준 제3항(독특하거나 아주 오래된 것)을 적용, 세계유산적 가치를 인정했다. 고창은 고인돌 박물관을 비롯하여 제1코스 ~ 제5코스 1.8km (고창읍 죽림리, 아산면 상갑리 일대), 제6코스 1.7km (고창읍 도산리 일대)를 탐방코스로 만들어 3천 년 전 다양한 고인돌의 모습 그대로 전승하여 오고 있다.",전북특별자치도 고창군 고창읍 죽림리 665-9,"['#2024_여행가는달과함께하는_발도장여행지', '#가족여행', '#고창가볼만한곳', '#고창고인돌유적', '#고창여행', '#관광지', '#교과서속여행', '#아이와함께', '#역사', '#역사유적지', '#유네스코세계문화유산', '#전통&역사문화체험', '#친구와함께']"
고창웰파크시티		,"고창 웰파크시티는 고창군 고창읍에 있는 1,501,011.3m² 면적의 국내 최대 복합 힐링 단지로, 힐링카운티, 석정휴스파, 먹거리, 마사지, 의료 서비스 등 다양한 시설을 고루 갖추고 있다. 관광과 레저를 동시에 즐길 수 있는 가족형 리조트다. 대표적인 휴양 레저 시설인 힐링카운티에서는 황토와 편백나무로 지은 황토 펜션 속에서 면역을 키우는 프로그램을 경험할 수 있다. 석정휴스파는 게르마늄이 함유된 온천수를 사용해 온천욕을 즐길 수 있으며, 2,000명이 동시 사용한 로커 공간 및 다양한 먹거리 공간과 편의시설이 있다. 그 외 은퇴 후 건강과 휴양을 위한 석정웰파크병원, 체계적인 건강 관리와 노후를 준비할 수 있는 실버타운 고창 타워, 라운딩 할 수 있는 가족형 석정힐 C.C 등이 있다.",전북특별자치도 고창군 고창읍 석정2로 173 ,"['#고창가볼만한곳', '#고창가족여행', '#고창리조트', '#고창여행', '#고창온천', '#문화시설', '#석정휴스파']"
김정회고가,"조선 개국공신 김사형의 후손으로 학자이며 예술가인 보정 김정회(1903∼1970)의 생가로 김정회의 고조 때부터 살던 곳이다. 고가가 위치한 도산마을은 안동김씨와 청도김씨의 세거지로서, 다른 곳에 비해 고가가 많이 남아 있는데, 김정회고가는 그중에서도 가장 오래된 고가이다. 현재 안채와 사랑채, 문간채, 사랑채, 사당, 곳간 등으로 이루어져 있다.앞면 6칸·옆면 3칸의 안채는 지붕 옆면이 여덟 팔자 모양인 팔작지붕집이며, 후대에 양쪽에 각각 1칸씩 덧붙였다. 안마당보다 높이 자리 잡고 있는 안채의 양식은 다른 집에 비하여 특이하다. 안채의 앞쪽에 위치한 사랑채는 앞면 4칸·옆면 3칸의 팔작지붕이다. 안채와 사랑채에 비해 훨씬 뒤에 지은 것으로 보이는 행랑채는 앞면 3칸·옆면 2칸 규모이며, 지붕 옆면이 사람 인자 모양인 간결한 맞배지붕이다. 안채의 양쪽으로 곳간채가 1동씩 있으며, 뒤로는 사당이 있다.조선 후기에 지은 전형적인 상류계층의 가옥으로 현재 후손이 거주하고 있다. 외부관람은 가능하며 내부관람 여부는 사전에 방문 가능 여부를 문의해야 한다.",전북특별자치도 고창군 고창읍 도산1길 16 (고창읍),"['#가족여행', '#고창여행', '#관광지', '#문화재', '#역사', '#역사공부', '#역사관광지', '#역사문화재', '#역사탐방', '#연중무휴', '#전북특별자치도민속문화재']"
미당 서정주 생가,"고창의 선운사, 질마재 부근 진마마을에 위치한 미당 서정주의 생가이다. 미당은 어린 시절 이 집에서 서당을 다니다가 10살 때 인근의 줄포로 이사하여 줄포보통학교를 졸업하고, 15세 때인 1929년 서울 계동에 있는 중앙고등보통학교에 입학하였다. 이곳은 그가 아홉 살 무렵 부안 줄포보통학교에 입학하려고 이사 가기 전까지 살던 집인 것이다.1942년 부친이 죽은 후 친척이 개조하여 거주하다가 1970년 경부터는 사람이 살지 않은 채로 방치되었고 2001년 복원되었다. 생가 곳곳에는 그의 시와 글이 새겨진 큰 바위가 세워져 있으며 정면 4칸, 측면 2칸의 초가지붕 본채, 정면 3칸, 측면 2칸의 헛간이 있는 초가지붕 아래채가 서로 마주 보고 있다.인근에는 미당 서정주를 기리는 미당 시문학관과 인촌 생가가 위치한다.",전북특별자치도 고창군 부안면 미당길 16 (부안면),"['#고창여행', '#관광지', '#미당서정주', '#서정주', '#역사', '#역사공부', '#역사관광지', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사여행', '#역사유적', '#역사유적지', '#역사이야기', '#역사탐방', '#역사탐험']"
고창읍성한옥마을,"고창읍성한옥마을은 고창읍성 내에 있는 관아의 객사를 재현한 한옥으로 총 7채의 기와집과 11개 객실로 구성되어 있다. 객실마다 대청마루와 마당이 딸려 있고, 내부에 화장실, 에어컨 등이 있어 편하게 이용할 수 있다. 주변에 고창읍성 둘레길이 있어 고풍스러운 성벽의 아름다움을 느끼며 산책할 수 있고, 도자기와 자수 체험장, 군립미술관, 판소리박물관, 선운골프장 등이 있다. 150대의 전용주차장도 있어 주차에 편리하다. ",전북특별자치도 고창군 동리로 128 한옥체험펜션  ,"['#2024_여행가는달과함께하는_발도장여행지', '#고창숙소', '#고창여행', '#고창한옥', '#숙박', '#한옥']"
고창 무장 동학농민혁명 기포지,"동학농민혁명은 한국근대사에서 전국에 걸쳐 사회개혁 의지를 처음으로 드러낸 역사적인 사건이다. 고창 무장기포지는 우리나라 최초의 민권운동이기도 한 동학혁명의 시발점으로 의미가 매우 큰 유적지이다. 고창군에서 대산면으로 가는 국도 22호선 왼쪽 구수마을 일대에 위치하여 있다. 참고로, 무장은 지명이며 기포지는 동학농민혁명 포고문을 선포한 집결지를 의미한다. 동학농민혁명의 참뜻을 기리기 위해 조성된 이곳에는 동학농민혁명의 훈련장으로 사용된 터와 [갑오동학농민군 고창주 의장 추모비]가 자리하고 있다. 또한, 갑오 동학농민혁명을 이끈 전봉준 총대장, 김개남 총관령과 손화중 총관령 세 지도자와 동학농민혁명 당시 고창군으로 통합되기 이전인 고창현, 무장현, 홍덕현을 의미하는 늘 푸른 소나무 세 그루를 상징적으로 식재해 놓았다. 기존 기포지에 설치되어 있었던 동학농민혁명 기념탑과 조형물들은 고창동학농민혁명 성지화사업 진행으로 (구)신황초등학교에 옮겨 놓았으므로 함께 연계해서 방문하는 것도 의미가 있다.",전북특별자치도 고창군 공음면 구암리 ,"['#고창여행', '#관광지', '#문화재', '#사적', '#아이와함께', '#역사', '#역사공부', '#역사관광지', '#역사를품은곳', '#역사속', '#역사속으로', '#역사유적지', '#역사탐방', '#역사탐험']"
골프존카운티선운		,"골프존카운티선운은 화시코스와 선운코스로 이루어진 18홀 규모의 골프장이다. 자연적으로 만들어진 평원과 5개의 계곡, 바다 같은 호수를 만날 수 있어 자연과 잘 조화된 골프장이다. 골프존 카운티 선운 내에는 40여 명을 수용할 수 있는 골프텔 스테이 선운 호텔이 있으며, 대나무를 이용한 인테리어로 자연의 정취를 느낄 수 있어 편안한 골프여행이 가능하다. 주변을 에워싼 울창한 자연림으로 바람으로부터 자유롭고, 18홀 모두 햇빛을 등지고 플레이할 수 있는 장점이 있다. 클럽하우스 내에 레스토랑, 프로숍, 라커룸, 사우나가 있으며, 옥상의 정원에는 테라스가 갖춰져 있어 밤에는 별구경도 할 수 있다.",전북특별자치도 고창군 아산면 운곡로 418 ,"['#1박2일골프여행', '#고창여행', '#골프존카운티선운CC', '#도심속골프장', '#레포츠', '#명품골프장', '#선운cc', '#전라도골프장']"
구시포항,"1800년 무렵부터 소금을 생산하던 포구로써 염전을 일구기 위하여 설치한 수문 모양이 소의 구시통(구유의 방언)처럼 생겼다고 하여 현재의 이름이 붙어졌다. 주변 경치가 아름다워 해양수산부에서 선정한 '아름다운 어촌 100선'에 뽑혔으며, 울창한 송림과 넓고 단단한 모래사장을 갖춘 구시포 해수욕장과 해수 찜이 잘 알려져 있다. 고창의 남쪽 끝에 위치한 구시포항은 여느 항구와 달리 육지에서 떨어져 있는 가막도라는 섬에 자리하고 있다. 다른 항구에 비해 조수간만의 영향을 받지 않고 어선이 입출항할 수 있는 조건을 갖추고 있으며, 항구를 와인잔 형태로 넓게 정비하면서 바다로 뻗은 800m의 긴 제방과 등대, 전망데크, 트릭아트, 공원 등의 시설을 갖춰 더욱 쾌적하고 즐겁게 항구를 즐길 수 있다.",전북특별자치도 고창군 상하면 자룡리 984 ,"['#경치', '#관광지', '#낚시명소', '#노을', '#등대', '#아름다운어촌', '#와인잔모양', '#항구']"
흥덕향교,"1621년(광해군 13) 창건되었고 1675년(숙종 1) 당시 흥덕현 유림들의 숙원으로 숙종의 어명에 의해 중건되었다. 자연경사를 따라 앞쪽에는 강학공간인 명륜당, 뒤쪽에는 문묘공간인 대성전을 두어 전학후묘를 이룸으로써 향교 건축의 전형적인 배치양식을 따랐다. 이곳에는 공자를 비롯하여 중국의 4성(안자·증자·자사·맹자), 중국 송대의 4현(주돈이·주희·정명도·정이천), 한국의 18현(설총·안향·김굉필·조광조·이황·이이·김장생·김집·송준길·최치원·정몽주·정여창·이언적·김인후·성혼·조헌·송시열·박세채)을 배향하고 있다. 향교 진입로에는 전라북도 유형문화재로 지정된 흥덕 당간지주(불화를 걸던 당간을 지탱하기 위하여 좌, 우에 세우던 기둥)가 있는데 근처에 고려시대까지 갈공사라는 사찰이 있었다고 한다.",전북특별자치도 고창군 흥덕면 흥덕향교길 28-12 ,"['#고창여행', '#관광지', '#문화재', '#역사', '#역사관광지', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사유적', '#역사유적지', '#역사이야기', '#역사탐방', '#역사탐험', '#유적지', '#전북특별자치도문화재자료', '#향교']"
전봉준 장군 생가터,"동학농민혁명의 핵심 인물이자 지도자였던 전봉준 장군은 1855년 12월 3일 이곳 고창읍 죽림리 63번지 당촌 마을에서 서당 훈장을 하던 전장혁의 아들로 태어나 13세 무렵까지 살았던 곳이다. 당시에는 서당, 안채, 사랑채 등이 있었으나 동학농민혁명 기간 중 모두 소실되었다. 오척 단신의 작은 체구 때문에 녹두라는 별명을 얻어 일명 녹두장군으로 알려지게 되었다. 전봉준 장군이 주도한 동학농민혁명은 봉건적 지배세력에 의한 수탈과 억압에 반대한 민족운동이며 제국주의적 외세 침략에 맞선 국권수호운동으로 갑오개혁의 도하선이 되었으며 보국안민의 기치를 높이 세운 최초의 민중항쟁이었다. 전봉준 생가터는 한국 역사상 최대의 혁명적 사건인 동학농민혁명을 도모하고 이끈 최고 지도자가 태어나고 유년기를 보낸 상징적인 장소로 가치를 인정받아 전라북도 기념물로 지정됐다.",전북특별자치도 고창군 고창읍 당촌길 41-8 ,"['#고창여행', '#관광지', '#문화재', '#역사', '#역사공부', '#역사관광지', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사여행', '#역사유적', '#역사유적지', '#역사이야기', '#역사탐방', '#역사탐험', '#전봉준', '#전북특별자치도기념물']"
만돌갯벌체험학습장,"만돌은 만개의 굴뚝이 서있다. 만개의 집이라는 뜻이다. 만돌마을은 무려 6km로나 되는 갯벌을 보유하고 있다. 일단 무한한 갯벌 크기에 한 번 놀라고, 큼직한 조개를 캐는 재미에 한 번 더 놀라게 된다. 갯벌체험이 바다의 선물이었다면, 염전체험은 하늘의 선물일 것이다.천일염체험은 아이들에게 하늘과 바다의 선물이 될 것이다. 무한한 갯벌을 트랙터를 개조한 갯벌버스를 이용하여 상쾌한 기분을 만끽할 수 있으며, 마을 앞 죽도의 원시생태체험, 염전체험, 원시어로법인 횃불어로체험, 갯벌체험 등을 즐길 수 있다. 만돌마을은 바다와 섬 바위가 어우러져 경관이 매우 아름다우며, 명사십리의 길 백사장과 해수모래찜 갯벌위의 외죽도 섬과 도수녁 바위는 만돌마을의 자랑이다. 어촌계에서 직접 주관하여 바다가 살아 숨쉬는 자연 갯벌바닷가로 갯벌 관광버스를 타고 갯벌을 체험할 수 있다.만돌마을은 종합 안내센터 및 샤워장, 주차장 등을 갖추고 갯벌 학습 체험장을 정식으로 개장하였으며 외부 관광객들이 체험에 필요한 갯벌장화, 바지락 캐는 갈퀴, 바구니 등 다양한 장비와 세족장, 식당 등 부대시설을 갖추고 있다. ",전북특별자치도 고창군 심원면 애향갯벌로 320 ,"['#갯벌', '#갯벌체험', '#고창갯벌체험', '#고창여행', '#관광지', '#만돌갯벌체험', '#만돌갯벌체험학습장', '#아이와함께', '#어촌', '#어촌마을', '#어촌체험마을', '#이색체험', '#전라권', '#체험', '#체험학습', '#휴식여행', '#힐링&휴양여행']"
상원사(고창),"방장산 기슭의 고창읍 월곡리에 자리한 사찰로 대한불교조계종 제24교구 본사인 선운사의 말사이다. 상원사는 백제 성왕 23년(546)에 신라의 법사 고봉과 발용에 의해 건립하였다. 당시 신라는 진흥황 시기이었는데 전국적인 불사창건령에 따라 고봉과 발용은 임금의 밀명을 받고 백제 땅까지 들어와 사찰을 지은 것이다. 이후 현재까지 여러 차례 중수하였다. 대웅전은 18세기 중반에 지은 것으로 추정되며, 석가모니불을 주존으로 좌우에 약사불과 아미타불을 모시 상원사의 중심 건물이다. 대웅전은 규모가 작아 다른 사찰의 대웅전에 비해 단정하고 아담한 느낌을 준다.상원사는 호남지역 인사들이 다담을 나누는 명소로 알려져 있는데, 번잡한 세속을 떠나 그윽한 다향 속에서 마음을 비우고 싶을 때 누구든 찾을 수 있는 아담한 고찰이다.",전북특별자치도 고창군 고창읍 월곡리 ,"['#고창상원사', '#고창여행', '#관광지', '#문화재', '#불교', '#불교문화', '#사찰', '#사찰여행', '#역사', '#자연속으로', '#자연환경', '#전북특별자치도문화재자료', '#전통사찰', '#한국불교', '#휴식공간', '#휴식여행', '#휴식하기', '#휴식하기좋은곳']"
들꽃카페,오래된 폐교가 숲과 들꽃이 피어나는 카페가 있는 정원으로 변신한 고창읍 덕정리에 위치한 ‘들꽃카페수목원’이다. 폐교를 개조해서 자연과 어울리는 멋진 카페를 만든 곳으로 넓은 부지에 아름드리 수목은 살리고 학생들이 공부하던 학교 건물은 리모델링을 해서 예쁜 카페를 만들었다. 운동장으로 사용하던 넓은 뜰에는 연못과 정원을 만들어 그 자리에 야생화와 조각과 수석으로 꾸며 산책하며 차를 즐길 수 있게 해 지금은 여행자들이 들러가는 쉼터가 되었다. ,전북특별자치도 고창군 고창읍 태봉로 575 ,"['#고창', '#고창가볼만한곳', '#고창카페', '#들꽃카페', '#음식']"
도솔암(고창),"도솔암의 정확한 창건사실은 알 수 없으나, 사적기에는 선운사와 함께 백제때 창건되었다는 기록이 전해진다. 신라 진흥왕이 말년에 왕위를 버리고 도솔산의 한 굴에서 머물고 있었는데, 어느 날 밤에 바위가 쪼개지며 그 속에서 미륵삼존불이 출현하는 꿈을 꾸고 이에 감응하여 중애사, 선운사, 도솔사 등 여러 사암을 창건하였다는 것이다. 미륵삼존의 출현이나 도솔이라는 이름 등은 도솔암을 미륵신앙을 바탕으로 창건된 사찰임을 추측하게 한다. 특히 도솔암 서편의 거대한 암벽에 새겨진 마애불좌상은 고려 초기의 마애불 계통 불상으로 크게 주목받고 있는데 사람들이 이 마애불을 [미륵불]이라 부르고 있는 데서도 도솔암과 미륵신앙의 깊은 연관성을 말해준다. 현재 도솔암의 전각은 대웅전, 나한전, 도솔천내원궁, 요사 등으로 이루어져 있다.  ",전북특별자치도 고창군 도솔길 294 도솔암  ,"['#가족여행', '#고창여행', '#관광지', '#도솔암', '#문화재', '#불교', '#불교문화', '#사찰', '#사찰&산사', '#사찰여행', '#역사', '#자연속으로', '#자연환경', '#전통사찰', '#친구와함께', '#한국불교', '#휴식공간', '#휴식여행', '#휴식하기', '#휴식하기좋은곳']"
구시포해수욕장,"고창군 최대의 해수욕장으로 길고 넓은 백사장과 울창한 송림을 끼고 있다. 또한, 해변의 경사가 완만해서 가족 단위의 피서지로 제격이다. 백사장 남쪽에는 정유재란 때에 주민 수십 명과 산비둘기 수백 마리가 반년 동안 단을 피했다는 천연동굴이 있고, 해안 일대에는 기암괴석이 널려 있다. 앞바다에는 가막 도를 비롯한 섬들이 아름답게 떠 있고 해 질 무렵 서해 칠산바다를 붉게 물들이는 낙조를 볼 수 있다. 오토캠핑을 즐기려는 사람들이 많이 찾는 해수욕장기도 하다. 주변에는 각종 편의시설이 잘 갖춰져 있다.  ",전북특별자치도 고창군 상하면 자룡리 ,"['#가족여행', '#관광지', '#바다풍경', '#아이와함께', '#여름방학가볼만한곳', '#여름여행', '#여름휴가', '#연인과함께', '#자연', '#친구와함께', '#피서여행']"
무장향교 대성전,"향교는 공자와 훌륭한 유학자의 위패를 모시고 제사를 지내며 지방민의 교육과 교화를 위해 설립된 고려·조선시대의 국립 교육기관이다. 조선시대에는 국가로부터 토지와 노비 등을 지급받아 교관이 교생을 가르쳤으나, 1894년 갑오개혁으로 근대 교육이 본격화되면서 교육적 기능은 폐지되었다. 무장향교 대성전은 1420(세종 2)에 창건되었으며 중국의 4성, 중국 송대의 4현, 우리나라 성현 18현의 위패를 모시고 제사를 지내는 공간이다. 대성전은 뒷면 주초석을 항아리 모양으로 세운 점과 앞뒤의 출목도리 밑에 활주와 같은 기능을 하는 기둥을 세운 점이 매우 특이하다. 또한 충청도의 직산향교 대성전, 신창향교 대성전과 마찬가지로 하방에서 중방까지 좌우와 배면의 벽면을 돌담 장벽과 같이 마련한 점이 특이하다. 조선 시대 향교 건축물 연구에 좋은 자료가 된다.",전북특별자치도 고창군 무장면 교흥교촌길 9 (무장면),"['#고창무장향교', '#관광지', '#교과서속여행', '#대성전', '#무장향교대성전', '#문화재', '#문화재자료', '#역사', '#역사공부', '#역사관광지', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사유적', '#역사유적지', '#역사이야기', '#역사탐방', '#역사탐험', '#유적지', '#전라권', '#전북특별자치도문화재자료']"
꽃객프로젝트,"1972년 전북 고창의 한 시골 마을에서 시작된 가족 정원이 2010년 새 정원으로 옮겨졌다. 이후 김보헌 대표는 수십 년 경력의 원예 전문가인 아버지의 대를 이어 나무를 심고 꽃을 가꾸며 민간정원을 아름답게 꾸며가는 중이다. 정원에 들어서면 귀하고 멋진 반송이 반겨준다. 특히 가을이면 몽환적인 핑크색의 핑크뮬리로 뒤덮여 장관을 이룬다. 새로운 정원 ""꽃객프로젝트""로 2019년부터 고창 핑크뮬리 축제도 진행하고 있다. 66,000m²의 정원에 펼쳐진 10여 만 본의 핑크뮬리, 핑크메밀, 백일홍, 천일홍, 코키아 등 아름다운 꽃들과 정원수들을 감상할 수 있다. 꽃과 정원을 찾는 여행객인 '꽃객'은 현명한 로컬여행에 참여하며 즐거운 추억을 쌓게 된다. ",전북특별자치도 고창군 부안면 복분자로 307 ,"['#고창수목원', '#고창핑크뮬리', '#고창핑크뮬리축제', '#관광지', '#꽃객프로젝트', '#민간정원', '#팜정원', '#핑크뮬리', '#핑크뮬리축제']"
태흥갈비,"태흥갈비의 대표메뉴인 양념 돼지갈비는 양념이 깊게 잘 배어 있으며 달달한 간장소스의 맛이 별미이다. 양념돼지갈비와 생갈비구이는 숯불로 구워 먹는 방식이라 숯불의 향과 어우러져 더욱 풍미 있는 고기의 맛을 느낄 수 있다. 그리고 태흥갈비집이 자랑하는 특별한 메뉴는 육사시미와 복분자즙을 넣어 반죽한 냉면이다. 복분자냉면은 고창군 향토음식발굴에서 당당히 대상을 수상한 음식이다. 살얼음이 들어간 육수에 복분자면, 오이와 쌈무, 계란 반 개가 들어가 있다. 기본 면발보다 쫄깃한 맛을 느낄 수 있다.",전북특별자치도 고창군 고창읍 중앙로 306-4 ,"['#갈비', '#고창맛집', '#냉면', '#냉면', '#돼지갈비', '#맛집', '#삼겹살', '#생갈비', '#육회', '#음식', '#전라권', '#태흥갈비']"
해리마을,"우리나라 서남단에 자리한 고창 지역은 다양한 문화유적이 분포되어 있다. 특히 해리마을에 위치한 동호해수욕장의 500년 이상된 노송은 우리나라에서 보기 드문 것으로 유명하다. 또한, 너무도 깨끗한 해수욕장과 해당화 군락지, 명사십리가 조성되어 있다. 해리마을 인근에 2001년 폐교된 나성초등학교를 이대건 촌장과 이영남 관장 가족이 정착하여 조성한 인문출판 공도체 책마을 해리가 위치해 있다. 자연과 체험 등 다양하게 즐길 수 있는 해리마을이다. ",전북특별자치도 고창군 해리면 동호리 ,"['#갯벌', '#고창여행', '#관광지', '#숙박', '#어촌', '#어촌마을', '#자연', '#책마을해리']"
정산사,"정산사는 창녕조씨의 사우로, 조선 전기의 문신인 조서와 조선 후기의 학자인 조의기, 효자 조언징을 기리는 조선후기 사당이다. 월산마을에서 검암마을로 들어가는 마을 앞 동쪽 길가에 자리 잡고 있다. 조언징은 어려서부터 지성으로 부모에게 효도하여 당대의 사표가 되었다. 1797년(정조 21)에 창건하여 유창, 유한량, 조서를 향사하였으며, 1868년(고종 5)에 철폐되었다가 1900년(고종 37)에 다시 단을 세웠다. 1976년에 중건하면서 유창과 유한량은 조산사를 세워 따로 배향하였고, 조의기와 조언징을 추배 하였다. 사당은 정면 3칸, 측면 2칸의 맞배지붕이며, 강당, 명덕재, 내삼문, 장서고, 수직사 등으로 이루어져 있다. 향사일은 음력 9월 5일이다.  ",전북특별자치도 고창군 고창읍 월암안길 8 ,"['#고창여행', '#관광지', '#문화재', '#사당', '#역사', '#역사공부', '#역사관광지', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사유적', '#역사유적지', '#역사이야기', '#역사탐험']"
